22 March 2014 10:59:40
Time (ms),R-R (ms)
-6271,652
-5631,640
-4991,640
-4363,628
-3755,608
-3155,600
-2571,584
-1995,576
-1427,568
-867,560
-311,556
241,552
785,544
1329,544
1881,552
2453,572
3037,584
3617,580
4185,568
4753,568
5313,560
5869,556
6437,568
7029,592
7661,632
8325,664
8985,660
9661,676
10309,648
10945,636
11577,632
12181,604
12765,584
13341,576
13905,564
14465,560
15017,552
15565,548
16113,548
16669,556
17253,584
17893,640
18545,652
19249,704
20009,760
20737,728
21453,716
22169,716
22853,684
23513,660
24149,636
24761,612
25357,596
25961,604
26553,592
27165,612
27793,628
28441,648
29081,640
29729,648
